method,valid_B,failure_B,failure_rate,mean_target_ce,bias,sd_target_ce,mae,rmse,mean_accuracy,mean_accuracy_abs_error,mean_weight_mse,mean_weight_corr,mean_cv2,mean_ess
Naive source,100,0,0.0,0.35620205422254714,0.045191657213347024,0.015810703599830073,0.045191657213347024,0.04785148322180954,0.873452502553626,0.017547497446373867,nan,nan,0.0,1958.0
Oracle,100,0,0.0,0.31455485024289875,0.0035444532336986554,0.015909157673854014,0.013291524241662632,0.01622138815386987,0.890309183872905,0.005010240923778515,0.0,1.0,0.09716755114699588,1784.686971108879
uLSIF,100,0,0.0,0.3161742517063313,0.005163854697131179,0.015486990593382838,0.013182744252816602,0.016251578513984927,0.8898145155781481,0.004671727765054498,0.012718650026302215,0.9414731690985092,0.10235496640108915,1777.001803203491
RuLSIF,100,0,0.0,0.32383093848418343,0.012820541474983287,0.019634453265789085,0.018277812289691407,0.02336713335451647,0.8872615359402609,0.0064120831332547265,0.03662760378185866,0.8897302498537689,0.16073528055383085,1689.2644028270204
KLIEP,100,0,0.0,0.3439815001678739,0.032971103158673847,0.025827184176135838,0.034513645440178764,0.041802711054945624,0.8793364872983298,0.013114009566745237,0.04116444686207519,0.7588299392621759,0.07029452682941689,1830.2073189370974
KMM,94,6,0.06,0.31414209776857205,0.003131700759372027,0.015801573028671256,0.013055371334974666,0.016026259273895584,0.8908433947209459,0.004959522105061659,0.008606972911353305,0.9649695448465503,0.10213401650825535,1777.5501652753542
MM,100,0,0.0,0.3283916316693065,0.017381234660106427,0.014105192053438902,0.018721678504073205,0.022339968593206163,0.8847771035178502,0.006790232059692464,0.012584053567120293,0.9730892004264098,0.048081738952557185,1868.2974370143836
